"","CustomerID","Frequency","Recency","Monetary","rankR","rankF","rankM","groupRFM","Country","Customer_Segment"
"1",12346,2,358,2.08,2,1,1,211,"United Kingdom","Lost Lowest"
"2",12347,182,35,481.21,5,4,3,543,"Iceland","Loyal Customers"
"3",12348,31,108,178.71,5,1,2,512,"Finland","Potential Loyalist"
"4",12349,73,51,605.1,5,2,4,524,"Italy","Recent High Spender"
"5",12350,17,343,65.3,2,1,1,211,"Norway","Lost Lowest"
"6",12352,95,69,2211.1,5,2,5,525,"Norway","NULL"
"7",12353,4,237,24.3,3,1,1,311,"Bahrain","About To Sleep"
"8",12354,58,265,261.22,3,1,2,312,"Spain","About To Sleep"
"9",12355,13,247,54.65,3,1,1,311,"Bahrain","About To Sleep"
"10",12356,59,55,188.87,5,2,2,522,"Portugal","Potential Loyalist"
"11",12357,131,66,438.67,5,3,3,533,"Switzerland","Potential Loyalist"
"12",12358,19,34,157.21,5,1,1,511,"Austria","New Customers"
"13",12359,254,40,2225.11,5,5,5,555,"Cyprus","Loyal Customers"
"14",12360,129,85,457.91,5,3,3,533,"Austria","Potential Loyalist"
"15",12361,10,320,33.35,2,1,1,211,"Belgium","Lost Lowest"
"16",12362,274,36,1083.29,5,5,5,555,"Belgium","Loyal Customers"
"17",12363,23,142,53.17,4,1,1,411,"Unspecified","Promising"
"18",12364,85,40,162.37,5,2,1,521,"Belgium","Potential Loyalist"
"19",12365,23,324,698,2,1,5,215,"Cyprus","NULL"
"20",12367,11,37,35.2,5,1,1,511,"Denmark","New Customers"
"21",12370,167,84,467.65,5,3,3,533,"Cyprus","Potential Loyalist"
"22",12370,167,84,467.65,5,3,3,533,"Austria","Potential Loyalist"
"23",12371,63,77,244.08,5,2,2,522,"Switzerland","Potential Loyalist"
"24",12372,52,104,156.07,5,1,1,511,"Denmark","New Customers"
"25",12373,14,344,64.15,2,1,1,211,"Austria","Lost Lowest"
"26",12374,33,58,139.25,5,1,1,511,"Austria","New Customers"
"27",12375,18,35,119.6,5,1,1,511,"Finland","New Customers"
"28",12377,77,348,209.35,2,2,2,222,"Switzerland","Lost Lowest"
"29",12378,219,162,656.44,4,4,4,444,"Switzerland","Loyal Customers"
"30",12379,41,114,116.6,5,1,1,511,"Belgium","New Customers"
"31",12380,105,54,355.63,5,2,3,523,"Belgium","Potential Loyalist"
"32",12381,91,37,417.04,5,2,3,523,"Norway","Potential Loyalist"
"33",12383,100,217,309.36,3,2,2,322,"Belgium","About To Sleep"
"34",12384,30,61,227.27,5,1,2,512,"Switzerland","Potential Loyalist"
"35",12386,10,370,23.91,1,1,1,111,"Australia","Lost Lowest"
"36",12388,100,48,277.77,5,2,2,522,"Australia","Potential Loyalist"
"37",12390,32,112,127.9,5,1,1,511,"Belgium","New Customers"
"38",12391,100,54,245.99,5,2,2,522,"Cyprus","Potential Loyalist"
"39",12393,64,105,145.9,5,2,1,521,"Australia","Potential Loyalist"
"40",12394,27,96,91.01,5,1,1,511,"Belgium","New Customers"
"41",12394,27,96,91.01,5,1,1,511,"Denmark","New Customers"
"42",12395,159,48,629.59,5,3,4,534,"Belgium","Loyal Customers"
"43",12397,126,68,437,5,3,3,533,"Belgium","Potential Loyalist"
"44",12398,85,78,169.38,5,2,2,522,"Switzerland","Potential Loyalist"
"45",12399,59,152,124.76,4,2,1,421,"Belgium","Potential Loyalist"
"46",12401,5,336,48.4,2,1,1,211,"Belgium","Lost Lowest"
"47",12402,11,356,36.2,2,1,1,211,"Belgium","Lost Lowest"
"48",12403,6,82,53.4,5,1,1,511,"Denmark","New Customers"
"49",12405,54,181,191.39,4,1,2,412,"Finland","Potential Loyalist"
"50",12406,108,55,305.99,5,2,2,522,"Denmark","Potential Loyalist"
"51",12407,77,82,251.59,5,2,2,522,"Belgium","Potential Loyalist"
"52",12408,113,65,353.48,5,2,3,523,"Belgium","Potential Loyalist"
"53",12409,114,111,402.04,5,2,3,523,"Switzerland","Potential Loyalist"
"54",12410,28,334,176.97,2,1,2,212,"Switzerland","Lost Lowest"
"55",12412,61,107,165.54,5,2,1,521,"Denmark","Potential Loyalist"
"56",12413,40,99,210.29,5,1,2,512,"France","Potential Loyalist"
"57",12414,18,250,154.26,3,1,1,311,"Austria","About To Sleep"
"58",12415,778,57,2499.82,5,5,5,555,"Australia","Loyal Customers"
"59",12417,198,36,1074.23,5,4,5,545,"Belgium","Loyal Customers"
"60",12417,198,36,1074.23,5,4,5,545,"Spain","Loyal Customers"
"61",12418,34,145,121.19,4,1,1,411,"Switzerland","Promising"
"62",12420,29,96,136.51,5,1,1,511,"Cyprus","New Customers"
"63",12421,46,48,204.18,5,1,2,512,"Spain","Potential Loyalist"
"64",12422,39,128,127.15,4,1,1,411,"Australia","Promising"
"65",12422,39,128,127.15,4,1,1,411,"Switzerland","Promising"
"66",12423,126,33,365.05,5,3,3,533,"Belgium","Potential Loyalist"
"67",12424,30,195,83.42,4,1,1,411,"Australia","Promising"
"68",12425,36,111,92.32,5,1,1,511,"Portugal","New Customers"
"69",12426,30,227,118.09,3,1,1,311,"Germany","About To Sleep"
"70",12427,35,44,161.17,5,1,1,511,"Germany","New Customers"
"71",12428,300,58,1418.79,5,5,5,555,"Finland","Loyal Customers"
"72",12429,97,42,352.18,5,2,3,523,"Denmark","Potential Loyalist"
"73",12429,97,42,352.18,5,2,3,523,"Austria","Potential Loyalist"
"74",12430,11,76,68.48,5,1,1,511,"Norway","New Customers"
